Data	MACK5	SIDC
2001-10-31	77	144
2001-11-01	88	159
2001-11-02	83	166
2001-11-03	96	166
2001-11-04	114	184
2001-11-05	104	216
2001-11-06	115	232
2001-11-07	140	204
2001-11-08	169	252
2001-11-09	135	247
2001-11-10	162	247
2001-11-11	128	240
2001-11-12	94	201
2001-11-13	114	196
2001-11-15	102	194
2001-11-16	119	149
2001-11-17	103	141
2001-11-18	105	153
2001-11-19	95	134
2001-11-20	76	144
2001-11-21	74	133
2001-11-22	92	144
2001-11-23	96	133
2001-11-24	92	111
2001-11-25	88	121
2001-11-26	77	139
2001-11-27	58	126
2001-11-28	87	177
2001-11-29	131	191
2001-11-30	152	201
2001-12-01	129	215
2001-12-02	135	241
2001-12-03	146	242
2001-12-04	152	234
2001-12-05	161	255
2001-12-06	170	229
2001-12-07	170	223
2001-12-08	171	226
2001-12-09	157	228
2001-12-10	96	186
2001-12-11	84	171
2001-12-12	108	189
2001-12-13	127	192
2001-12-14	117	163
2001-12-15	101	174
2001-12-16	121	194
2001-12-17	136	192
2001-12-18	117	186
2001-12-19	97	160
2001-12-20	76	163
2001-12-21	125	194
2001-12-22	113	218
2001-12-23	123	215
2001-12-24	138	253
2001-12-25	141	231
2001-12-26	156	270
2001-12-27	148	265
2001-12-28	126	252
2001-12-29	122	221
2001-12-30	144	216
2001-12-31	160	218
