Data	MACK	MACK10	MACK5	SIDC
2007-09-09	0	0	0	0
2007-09-10	0	0	0	0
2007-09-11	11	0	0	0
2007-09-12	0	0	0	0
2007-09-13	11	0	0	0
2007-09-14	0	0	0	0
2007-09-15	0	0	0	0
2007-09-16	11	0	0	0
2007-09-17	0	0	0	0
2007-09-18	0	0	0	0
2007-09-19	0	0	0	0
2007-09-20	0	0	0	0
2007-09-21	0	0	0	0
2007-09-22	0	0	0	0
2007-09-23	0	0	0	0
2007-09-24	11	0	0	0
2007-09-25	0	0	0	0
2007-09-26	0	0	0	0
2007-09-27	0	0	0	0
2007-09-28	11	11	11	15
2007-09-29	13	11	11	15
2007-09-30	13	0	0	15
2007-10-01	0	0	0	0
2007-10-02	0	0	0	0
2007-10-03	0	0	0	0
2007-10-04	0	0	0	0
2007-10-05	0	0	0	0
2007-10-06	13	12	12	19
2007-10-07	25	12	12	16
2007-10-08	11	0	0	12
2007-10-09	0	0	0	0
2007-10-10	11	0	0	0
2007-10-11	0	0	0	0
2007-10-12	0	0	0	0
2007-10-13	0	0	0	0
2007-10-14	0	0	0	0
2007-10-15	0	0	0	0
2007-10-16	0	0	0	0
2007-10-17	0	0	0	0
2007-10-18	0	0	0	0
2007-10-19	0	0	0	0
2007-10-20	0	0	0	0
2007-10-21	0	0	0	0
2007-10-22	0	0	0	0
2007-10-23	0	0	0	0
2007-10-24	0	0	0	0
2007-10-25	0	0	0	0
2007-10-26	0	0	0	0
2007-10-27	0	0	0	0
2007-10-28	0	0	0	0
2007-10-30	0	0	0	0
2007-10-31	11	0	0	0
2007-11-01	0	0	0	0
2007-11-02	0	0	0	0
2007-11-03	0	0	0	0
2007-11-04	0	0	0	0
2007-11-05	11	0	0	0
2007-11-06	11	0	0	13
2007-11-07	0	0	0	0
2007-11-08	0	0	0	0
2007-11-09	0	0	0	0
2007-11-10	0	0	0	0
2007-11-11	0	0	0	0
2007-11-12	0	0	0	0
2007-11-13	0	0	0	0
2007-11-14	0	0	0	0
2007-11-15	11	0	0	0
2007-11-16	12	12	12	16
2007-11-17	0	0	0	15
2007-11-18	0	0	0	0
2007-11-19	0	0	0	0
2007-11-23	11	0	0	0
2007-11-24	0	0	0	16
2007-11-25	11	11	11	13
2007-11-29	0	0	0	0
2007-11-29	0	0	0	0
2007-12-02	11	0	11	15
2007-12-03	11	0	0	12
2007-12-04	12	11	12	15
2007-12-05	23	11	12	14
2007-12-06	23	0	22	27
2007-12-07	37	12	14	26
2007-12-08	29	23	27	43
2007-12-09	28	26	28	45
2007-12-10	23	16	19	41
2007-12-11	33	17	20	41
2007-12-12	30	19	24	48
2007-12-13	28	22	25	51
2007-12-14	36	20	22	41
2007-12-15	36	17	20	38
2007-12-16	21	18	18	31
2007-12-17	23	11	12	19
2007-12-18	0	0	0	12
2007-12-19	11	0	0	0
2007-12-20	0	0	0	0
2007-12-21	0	0	0	0
2007-12-22	0	0	0	0
2007-12-23	0	0	0	0
2007-12-24	11	0	0	0
2007-12-25	11	0	0	0
2007-12-26	0	0	0	0
2007-12-27	0	0	0	0
2007-12-28	0	0	0	0
2007-12-29	0	0	0	0
2007-12-30	0	0	0	0
2007-12-31	11	0	0	0
